"m","p","o"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Bangkok"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Thailand"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/education","http://dbpedia.org/resource/New_York_University"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/education","http://dbpedia.org/resource/University_of_Southern_California"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Aditya_Assarat__1"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Film_director"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Film_producer"
"http://dbpedia.org/resource/Aditya_Assarat","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Screenwriter"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:New_York_University_alumni"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_cinematographers"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_screenwriters"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Silpathorn_Award_winners"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:1972_births"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Living_people"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_film_directors"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_film_producers"
"http://dbpedia.org/resource/Aditya_Assarat","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:University_of_Southern_California_alumni"
"http://dbpedia.org/resource/Adrienne_McQueen","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Frankfurt"
"http://dbpedia.org/resource/Adrienne_McQueen","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Germany"
"http://dbpedia.org/resource/Adrienne_McQueen","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:1982_births"
"http://dbpedia.org/resource/Adrienne_McQueen","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Living_people"
"http://dbpedia.org/resource/Adrienne_McQueen","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:American_film_actors"
"http://dbpedia.org/resource/Adrienne_McQueen","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:German_film_actors"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/education","http://dbpedia.org/resource/Columbia_University"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/nationality","http://dbpedia.org/resource/Thailand"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Film_director"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Film_producer"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Screenwriter"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Anocha_Suwichakornpong__1"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://dbpedia.org/ontology/stateOfOrigin","http://dbpedia.org/resource/Thailand"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_screenwriters"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:1976_births"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Living_people"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_film_directors"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_film_producers"
"http://dbpedia.org/resource/Anocha_Suwichakornpong","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Columbia_University_alumni"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Bangkok"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Thailand"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Apichatpong_Weerasethakul__1"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Film_director"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Film_producer"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:LGBT_directors"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:People_from_Bangkok"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_screenwriters"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_people_of_Chinese_descent"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:LGBT_people_from_Thailand"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Silpathorn_Award_winners"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:1970_births"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Living_people"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_film_directors"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_film_producers"
"http://dbpedia.org/resource/Apichatpong_Weerasethakul","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:School_of_the_Art_Institute_of_Chicago_alumni"
"http://dbpedia.org/resource/Bee_Namthip","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Bangkok"
"http://dbpedia.org/resource/Bee_Namthip","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Thailand"
"http://dbpedia.org/resource/Bee_Namthip","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Bee_Namthip__1"
"http://dbpedia.org/resource/Bee_Namthip","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Thai_actors"
"http://dbpedia.org/resource/Bee_Namthip","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:1982_births"
"http://dbpedia.org/resource/Bee_Namthip","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Living_people"
"http://dbpedia.org/resource/BethAnn_Bonner","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:American_soap_opera_actors"
"http://dbpedia.org/resource/BethAnn_Bonner","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:1982_births"
"http://dbpedia.org/resource/BethAnn_Bonner","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Living_people"
